race;pid;finish;dist;dpos;alt;time
R00001;P000015;1;14.03;1229;1919;1.97
R00001;P000015;1;22.4;1410;1615;2.77
R00001;P000015;1;27.94;1444;815;3.35
R00001;P000015;1;42.96;3034;1935;5.94
R00001;P000015;1;54.11;3687;1550;8.2
R00001;P000015;1;58.12;3725;1088;8.65
R00001;P000015;1;59.33;3725;1063;8.75
R00001;P000016;1;0;0;1064;0.0
R00001;P000016;1;14.03;1229;1919;1.89
R00001;P000016;1;22.4;1410;1615;2.75
R00001;P000016;1;27.94;1444;815;3.34
R00001;P000016;1;42.96;3034;1935;5.9
R00001;P000016;1;54.11;3687;1550;8.21
R00001;P000016;1;58.12;3725;1088;8.65
R00001;P000016;1;59.33;3725;1063;8.75
R00001;P000017;1;0;0;1064;0.0
R00001;P000017;1;14.03;1229;1919;2.1
R00001;P000017;1;22.4;1410;1615;2.88
R00001;P000017;1;27.94;1444;815;3.45
R00001;P000017;1;42.96;3034;1935;6.16
R00001;P000017;1;54.11;3687;1550;8.36
R00001;P000017;1;58.12;3725;1088;8.79
R00001;P000017;1;59.33;3725;1063;8.87
R00001;P000018;1;0;0;1064;0.0
R00001;P000018;1;14.03;1229;1919;1.89
R00001;P000018;1;22.4;1410;1615;2.75
R00001;P000018;1;27.94;1444;815;3.38
R00001;P000018;1;42.96;3034;1935;5.98
R00001;P000018;1;54.11;3687;1550;8.33
R00001;P000018;1;58.12;3725;1088;8.81
R00001;P000018;1;59.33;3725;1063;8.91
R00001;P000019;1;0;0;1064;0.0
R00001;P000019;1;14.03;1229;1919;1.89
R00001;P000019;1;22.4;1410;1615;2.78
R00001;P000019;1;27.94;1444;815;3.37
R00001;P000019;1;42.96;3034;1935;5.98
R00001;P000019;1;54.11;3687;1550;8.4
R00001;P000019;1;58.12;3725;1088;8.85
R00001;P000019;1;59.33;3725;1063;8.94
R00001;P000020;1;0;0;1064;0.0
R00001;P000020;1;14.03;1229;1919;1.99
R00001;P000020;1;22.4;1410;1615;2.87
R00001;P000020;1;27.94;1444;815;3.62
R00001;P000020;1;42.96;3034;1935;6.06
R00001;P000020;1;54.11;3687;1550;8.38
R00001;P000020;1;58.12;3725;1088;8.86
R00001;P000020;1;59.33;3725;1063;8.96
R00001;P000021;1;0;0;1064;0.0
R00001;P000021;1;14.03;1229;1919;1.92
R00001;P000021;1;22.4;1410;1615;2.8
R00001;P000021;1;27.94;1444;815;3.42
R00001;P000021;1;42.96;3034;1935;6.18
R00001;P000021;1;54.11;3687;1550;8.42
R00001;P000021;1;58.12;3725;1088;8.91
R00001;P000021;1;59.33;3725;1063;9.03
R00001;P000022;1;0;0;1064;0.0
R00001;P000022;1;14.03;1229;1919;2.19
R00001;P000022;1;22.4;1410;1615;2.95
R00001;P000022;1;27.94;1444;815;3.59
R00001;P000022;1;42.96;3034;1935;6.19
R00001;P000022;1;54.11;3687;1550;8.52
R00001;P000022;1;58.12;3725;1088;9.02
R00001;P000022;1;59.33;3725;1063;9.11
R00001;P000023;1;0;0;1064;0.0
R00001;P000023;1;14.03;1229;1919;2.05
R00001;P000023;1;22.4;1410;1615;2.85
R00001;P000023;1;27.94;1444;815;3.45
R00001;P000023;1;42.96;3034;1935;6.19
R00001;P000023;1;54.11;3687;1550;8.51
R00001;P000023;1;58.12;3725;1088;9.01
R00001;P000023;1;59.33;3725;1063;9.11
R00001;P000024;1;0;0;1064;0.0
R00001;P000024;1;14.03;1229;1919;1.96
R00001;P000024;1;22.4;1410;1615;2.81
R00001;P000024;1;27.94;1444;815;3.43
R00001;P000024;1;42.96;3034;1935;6.24
R00001;P000024;1;54.11;3687;1550;8.59
R00001;P000024;1;58.12;3725;1088;9.05
R00001;P000024;1;59.33;3725;1063;9.15
R00001;P000025;1;0;0;1064;0.0
R00001;P000025;1;14.03;1229;1919;1.93
R00001;P000025;1;22.4;1410;1615;2.81
R00001;P000025;1;27.94;1444;815;3.5
R00001;P000025;1;42.96;3034;1935;6.23
R00001;P000025;1;54.11;3687;1550;8.65
R00001;P000025;1;58.12;3725;1088;9.09
R00001;P000025;1;59.33;3725;1063;9.19
R00001;P000026;1;0;0;1064;0.0
R00001;P000026;1;14.03;1229;1919;1.88
R00001;P000026;1;22.4;1410;1615;2.67
R00001;P000026;1;27.94;1444;815;3.24
R00001;P000026;1;42.96;3034;1935;5.89
R00001;P000026;1;54.11;3687;1550;8.63
R00001;P000026;1;58.12;3725;1088;9.12
R00001;P000026;1;59.33;3725;1063;9.23
R00001;P000027;1;0;0;1064;0.0
R00001;P000027;1;14.03;1229;1919;2.19
R00001;P000027;1;22.4;1410;1615;2.92
R00001;P000027;1;27.94;1444;815;3.5
R00001;P000027;1;42.96;3034;1935;6.32
R00001;P000027;1;54.11;3687;1550;8.85
R00001;P000027;1;58.12;3725;1088;9.25
R00001;P000027;1;59.33;3725;1063;9.33
R00001;P000028;1;0;0;1064;0.0
R00001;P000028;1;14.03;1229;1919;1.83
R00001;P000028;1;22.4;1410;1615;2.65
R00001;P000028;1;27.94;1444;815;3.27
R00001;P000028;1;42.96;3034;1935;6.15
